payment_id,claim_id,payment_date,payment_amount,payment_type,cumulative_paid
1,1,2024-02-21,73092.74,indemnity,73092.74
2,1,2025-03-05,74648.79,indemnity,147741.53
3,1,2025-12-01,69326.59,indemnity,217068.12
4,2,2024-03-05,17399.68,indemnity,17399.68
5,2,2025-03-05,10049.55,indemnity,27449.23
6,2,2025-12-26,5640.92,indemnity,33090.15
7,2,2025-11-07,739.01,expense,33829.16
8,3,2023-07-09,8256.19,indemnity,8256.19
9,3,2024-05-03,5572.14,indemnity,13828.33
10,3,2024-11-05,2742.72,indemnity,16571.05
11,3,2025-11-26,1984.48,indemnity,18555.53
12,4,2025-12-24,20397.52,indemnity,20397.52
13,4,2025-12-24,1514.95,expense,21912.47
14,5,2023-09-05,12147.36,indemnity,12147.36
15,5,2024-01-15,9087.68,indemnity,21235.04
16,5,2024-06-22,641.35,expense,21876.39
17,5,2025-04-09,4524.87,indemnity,26401.26
18,5,2025-11-24,3049.17,indemnity,29450.43
19,5,2025-12-29,214.24,expense,29664.67
20,6,2022-03-13,10234.24,indemnity,10234.24
21,6,2022-09-15,10097.16,indemnity,20331.4
22,6,2023-03-09,1167.15,expense,21498.55
23,6,2023-08-18,6910.76,indemnity,28409.31
24,6,2025-01-01,3197.64,indemnity,31606.95
25,6,2025-12-22,1566.82,indemnity,33173.77
26,7,2021-11-24,14690.44,indemnity,14690.44
27,7,2022-10-15,14059.73,indemnity,28750.17
28,7,2024-03-10,13848.6,indemnity,42598.77
29,7,2024-12-01,10595.33,indemnity,53194.1
30,7,2025-09-04,6953.21,indemnity,60147.31
31,8,2022-01-04,19151.89,indemnity,19151.89
32,8,2023-05-27,20605.75,indemnity,39757.64
33,8,2024-02-03,18478.78,indemnity,58236.42
34,8,2025-06-16,14368.91,indemnity,72605.33
35,8,2025-12-23,8662.98,indemnity,81268.31
36,9,2023-09-21,65964.74,indemnity,65964.74
37,9,2023-11-01,69831.69,indemnity,135796.43
38,9,2025-05-05,40940.67,indemnity,176737.1
39,9,2025-02-21,3972.33,expense,180709.43
40,9,2025-11-14,22540.98,indemnity,203250.41
41,10,2023-04-15,19288.19,indemnity,19288.19
42,10,2024-06-20,19337.19,indemnity,38625.38
43,10,2025-07-21,13015.46,indemnity,51640.84
44,10,2025-12-29,6124.0,indemnity,57764.84
45,11,2020-07-17,3732.21,indemnity,3732.21
46,11,2022-03-02,2353.56,indemnity,6085.77
47,11,2022-06-06,1127.56,indemnity,7213.33
48,11,2023-11-16,409.68,indemnity,7623.01
49,12,2022-11-26,17523.05,indemnity,17523.05
50,12,2023-11-29,12950.4,indemnity,30473.45
51,12,2024-05-27,6161.65,indemnity,36635.1
